Greek Word,English Translation,Similar,Example Sentence
ιδιαίτερα,especially,,"Αν και δεν υπάρχουν πολλά ερείπια από αυτόν τον αρχαιολογικό χώρο, οι ταφές και το θέατρο είναι ιδιαίτερα ορατά."
ο Άγιος,saint,,"Με τη θεολογία του περί εκπόρευσης του αγίου Πνεύματος, απέκλεισε τη δυτική χρήση του filioque από τη διδασκαλία της ανατολικής χριστιανικής Εκκλησίας."
αυτών,of these,,Αι χειροκροτήσεις των θεατών αντήμειψαν τους αγώνες των κυρίων αυτών.
εκ,from,,"Alexander Beker το οποίο ξεκίνησε να χτίζεται το 1896, ενώ το όλο χτίσιμο διήρκεσε συνολικά 6 έτη."
εκείνη,she (that one),,"Belyakova, p. 91 Ήταν ευγενικός και προσεκτικός με την Όλγα, αλλά εκείνη λαχταρούσε αγάπη, κανονικό γάμο και παιδιά."
κάνει,does,,;R-Coffee : μια ειδική λειτουργία του T-Coffee που δίνει τη δυνατότητα στο χρήστη να κάνει στοίχιση RNA ακολουθιών χρησιμοποιώντας ταυτόχρονα δευτεροταγής δομικές πληροφορίες.
εκεί,there,,"Belyakova, p. 91 Ήταν ευγενικός και προσεκτικός με την Όλγα, αλλά εκείνη λαχταρούσε αγάπη, κανονικό γάμο και παιδιά."
τα μέτρα,meters,,Αναφέρεται ως ύψος 914 μέτρα.
τα νέα,news,,"Borchert (2011), 22 Αυτή η νέα ελευθερία στον έλεγχο του φωτός οδήγησε σε περισσότερο ακριβείς και ρεαλιστικές απεικονίσεις των υφών των διαφόρων επιφανειών."
σαν,like,,"Curtin, p. 12 Οι Κοζάκοι αποφάσισαν σύντομα να εγκαταλείψουν το Κασλίκ και να υποχωρήσουν στη Ρωσία."
οι αγώνες,"races (e.g., sprint race)",,Αγωνιζόμενος ως επιθετικός συμμετείχε σε περισσότερους από 1.000 επίσημους αγώνες σημειώνοντας 563 τέρματα.
γίνεται,it is done,γίνει,H διαμόρφωση της μύτης τής γραφίδας είναι εξαιρετικής σημασίας και για το σκοπό αυτό γίνεται χρήση μικρής και αιχμηρής λάμας.
οι διάφορες,various,,"Άρχισε να σχεδιάζει κόμικς για διάφορες μικρές εταιρίες του χώρου, ώσπου στα μέσα της δεκαετίας κατάφερε να δουλέψει για πρώτη φορά στη Marvel."
εκτός,except,,"Meyer, τ. Β', σ. 312–314 Τρία χρόνια αργότερα, το 1998, κυκλοφόρησε η πρώτη και (εκτός της εργασίας του MGFA) η μοναδική ως τώρα βιογραφία του Λούντβιχ Κύμπλερ, πάλι από τον Ρόλαντ Κάλτενέγκερ."
εν,in,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
τού,of,,Aραιά διαλύματα NaOH υποκαθιστούν το αλογόνο με υδροξύλιο.
άλλων,of others,,"Αν και πολλές οι πολυκατοικίες του Μπόνη στη μεσοπολεμική Αθήνα, με τη βαριά και αυστηρή τους γραμμή, υστερούν έναντι εκείνων άλλων συναδέλφων του, που ασχολήθηκαν συστηματικότερα με το θέμα."
έγιναν,they happened,,"Williamson, p. 14 Το 1931 έγιναν τροποποιήσεις: μίκρυνε ο πρωραίος ιστός και επιμηκύνθηκε ελαφρά η οπίσθια υπερκατασκευή."
η δεκαετία,decade,,"J. Ebers Μέχρι τα τέλη της δεκαετίας του 1850, ένα από αυτά χρησιμοποιεί τον όρο «γαλλικές τηγανητές πατάτες»."
είτε,either,,To αζασιλιριδίνη Για εναλλακτικές ονομασίες δείτε τον πίνακα πληροφοριών.
τα εκατομμύρια,millions,,"Oι συνολικές εισπράξεις στο αμερικανικό box office έφτασαν τα 381,4 εκατομμύρια δολάρια και στον υπόλοιπο κόσμο τα 960,9 εκατομμύρια δολάρια."
κάτω,below,,"Kontor: Tα Kontore ήταν ξένοι εμπορικοί σταθμοί της Ένωσης, όχι Χανσεατικές πόλεις-μέλη και μπαίνουν σε ξεχωριστό πίνακα παρακάτω."
φαίνεται,he/she/it looks,,"Ακτινογραφία της δομής του αρχικού Fiat 500 του 1957, όπου φαίνεται και η διάταξη «όλα πίσω»."
ώστε,in order that,,Άλλος τρόπος είναι η βαθμηδόν κυκλική αιώρηση έτσι ώστε να εκτιναχθεί πολύ μακρύτερα (προς τη πλώρη).
η Αθήνα,Athens,,Οι αμφορείς αυτοί δίνονταν από το αθηναϊκό κράτος γεμάτοι λάδι ως έπαθλα σε γυμνικούς και ιππικούς αγώνες στα Μεγάλα Παναθήναια.
το άλμπουμ,album,,"Megamix, που εμφανίστηκε μετά το διπλό άλμπουμ του 1995, ήταν καλύτερα, με τον θρύλο του (Μάικλ Τζάκσον) μουσικού χρυσού, ήταν κάπως αδύνατο να δημιουργήσει ένα κακό mix»."
η έκδοση,version,,Carrera 2. Η έκδοση V8 με 265 kW (360 hp) ήταν ακόμη μεγαλύτερη από δύο δέκατα του δευτερολέπτου.
η μάχη,battle,,"Ακολούθησε βίαιη και πολύνεκρη μάχη, η οποία είχε δυσμενή αποτελέσματα για το Λυκίσκο."
τα άτομα,individuals,,"Αλλά μια ειρήνη εκείνη την χρονική στιγμή θα ήταν ισοδύναμη με την αποχώρηση του Λίνκολν πιθανόν για πάντα από τον πολιτικό χάρτη της χώρας, πράγμα που υποστήριζαν ακόμα και άτομα από το δικό του κόμμα."
"γνωστός, γνωστή, γνωστό",known,,"Από το Νότιο Ουαζιριστάν, ο ποταμός εισέρχεται στην Κοιλάδα Γκομάλ στην επαρχία του Τανκ, σε μία περιοχή γνωστή ως Γκιρντάβι η οποία κατοικείται από τη φυλή Μιάνι."
οι εκλογές,elections,,"Tusell 2007: 374. Στις εκλογές του 1996, το Λαϊκό Κόμμα δεν κέρδισε με τη διαφορά που αναμενόταν, με μόνο 300.000 ψήφους διαφορά από το PSOE."
κυκλοφόρησε,was released,,"Here We Go Again κυκλοφόρησε μέσω ψηφιακού αντιγράφου στις 9 Οκτωβρίου 2018 και κυκλοφόρησε σε DVD, Blu-ray και 4K UHD Combo Pack στις 23 Οκτωβρίου 2018."
ο τρόπος,way,,"Mάλιστα, η λατρεία της περιελάμβανε το όχι σύνηθες έθιμο της θυσίας χοίρων, ένα έθιμο που παρέλαβαν από τη γειτονική πόλη Oνθύριον, όταν αυτή συνοικίστηκε στη Mητρόπολη."
αναφέρεται,refers,,"Gander 2015: 474 Σε ένα διασωζόμενο αντίγραφο του χεττιτικού κώδικα το οποίο είναι σε κακή κατάσταση, αντί για Λουβία αναφέρεται Αρζάβα, See, e.g., Bryce in Melchert 2003:29–31; Singer 2005:435; Hawkins 2009:74."
η κυβέρνηση,government,,"Tο προσχέδιο του Νόμου για Πολιτικό Ανασχηματισμό συντάχθηκε από τον Φερνάντεθ-Μιράντα, ρήτορα των δικαστηρίων, ο οποίος το παρέδωσε στην κυβέρνηση Σουάρεθ τον Ιούλιο του 1976."
η σχέση,relationship,,"Αλλά δεν μοιάζει με απιστία· μοιάζει περισσότερο σαν μια ανοικτή σχέση, συμφωνημένη και από τις δύο πλευρές»."
το σύστημα,system,,"Αν και ο Βάλντι είχε μία ποικιλία διαφορετικών χρωματικών συνδυασμών, έχει αναφερθεί έχει κατά καιρούς αναφερθεί ότι το κύριο σύστημα σχεδιάστηκε για να ταιριάζει με τα χρώματα των Ολυμπιακών κύκλων, δηλαδή μπλε, πράσινο κίτρινο, πορτοκαλί και πράσινο."
"όλος, όλη, όλο",all,πόλη,Gunnes (1976) p. 331 Μετακίνησε την έδρα του στο Χόλμεν την ανατολική ακτή του Βαγκέν όπου βρισκόταν ο πυρήνας της πόλης αναπτύσσοντας σημαντικά την γραφειοκρατία.
"δεύτερος, δεύτερη, δεύτερο",second,,"Cd του Crown Victoria δεύτερης γενιάς ήταν 0,37."
δηλαδή,that is,,"To Σαξόφωνο είναι το ""νεότερο"" όργανο μεταξύ εκείνων που αποτελούν σήμερα τις ορχήστρες και ένα από τα λίγα όργανα που πραγματικά αποτελούν εφεύρεση, δηλαδή δεν προέρχεται από κάποιο άλλο όργανο."
ο θάνατος,death,,"Brno 1990. p. 66 Μετά το θάνατο των γονιών του το 1604, έζησε στη θεία του στο Στράβνιτσε."
θεωρείται,considered,,"Curling StonesΠατρίδα του κέρλινγκ θεωρείται η Σκωτία, όπου μετρά 5 αιώνες συνεχούς παρουσίας."
η μουσική,music,,O Μέι έχει σπουδάσει μουσική στο Κολέγιο Pendle.
"νέος, νέα, νέο",new,,"Le Chevalier de Maison-Rouge, την οποία, όπως μας εκμυστηρεύεται, είχε ερωτευτεί νέος στην τηλεοπτική μεταφορά του βιβλίου."
πίσω,back,,"To Προοδευτικό Κόμμα των Πολιτών ήρθε δεύτερο με 43,5%, πίσω από το κόμμα Πατριωτική Ένωση (VU), το οποίο κέρδισε 47,6%."
η χώρα,country,χώρα,"Kirby, The Earliest English Kings, p. 81. Σύμμαχος του Πέντα ήταν ο ανιψιός του Οσουί Έθελβαλντ ο οποίος ήταν εκείνη την εποχή βασιλιάς της Ντέιρα, ο Οσουί θεωρούσε την Ντέιρα δικό του βασίλειο και ήθελε τον οποιοδήποτε βασιλιά της χώρας υποτελή του."
η επιτυχία,success,,"Alemtuzumab (Campath), a monoclonal antibody (α μονοκλωνικό αντίσωμα) που επιτήθεται στα λευκά αιμοσφαίρια, έχουν χρησιμοποιηθεί για θεραπεία με μεγαλύτερη επιτυχία από τις προηγούμενες επιλογές."
τα στοιχεία,data,,H RegulonDB αποτελεί μια βάση δεδομένων στην οποία περιέχονται εκτενώς και αναλυτικά όλα τα απαραίτητα στοιχεία και αλληλεπιδράσεις που αφορούν το ρυθμιστικό δίκτυο του ζωντανού οργανισμού Escherichia coli.
η ανάπτυξη,development,,"PFL αποδεκτή οικονομική, υλική και οργανωτική υποστήριξη από το κράτος, τους δήμους, δημόσιους οργανισμούς, εταιρείες και άλλους φορείς για την ανάπτυξη του ποδοσφαίρου."
αυτούς,them,,Άλλοι υποστηρίζουν ότι δεν υπάρχουν διαθέσιμα στοιχεία που να αποδεικνύουν ότι οποιοδήποτε από αυτούς τους οργανισμούς είναι ικανοί να προκαλέσουν αφθώδης στοματίτιδα από μόνα τους.
το γεγονός,"fact, event",,Ακούγοντας η Ίσιδα το γεγονός ταξίδεψε στη Βύβλο.
δυο,two,,"Αμέσως μετά σε ένα ατυχές κυνήγι με τον πατέρα του στο νησί του Λιό (1223) οι δυο συμβασιλείς αιχμαλωτίστηκαν από τον Ερρίκο Α΄ του Σουερίν, έμειναν φυλακισμένοι ως το 1226."
"επόμενος, επόμενη, επόμενο",next,,"Αν πάλι και οι δύο ομάδες έχουν τους ίδιους πόντους, τότε η αντίπαλη ομάδα τους γράφει κανονικά ενώ της ομάδας που αγόρασε κρέμονται, που σημαίνει ότι όποια ομάδα κερδίσει την επόμενη παρτίδα θα πάρει και τους βαθμούς που κρέμονται από την προηγούμενη."
"μικρός, μικρή, μικρό",small,,"Chapter 5 Η συγκέντρωση του αδιάστατου οξέος σε ένα διάλυμα mol·dm −3 θα είναι μικρότερη από 0,01% των συγκεντρώσεων των προϊόντων της διάστασης."
ο ρόλος,roll,,"Ακολούθησε η ίδρυση της Ελληνικής Αγροτικής Ποδοσφαιρικής Ομοσπονδίας το 1962, με την ΕΝΠ να διαδραματίζει σημαντικό ρόλο στη δημιουργία της."
τελικά,after all,,"""Ακούραστος στα παζάρια και τις επαφές του"" τελικά πετύχαινε ν΄ αποκτήσει αυτό που ποθούσε."
η κατάσταση,condition,,"Gander 2015: 474 Σε ένα διασωζόμενο αντίγραφο του χεττιτικού κώδικα το οποίο είναι σε κακή κατάσταση, αντί για Λουβία αναφέρεται Αρζάβα, See, e.g., Bryce in Melchert 2003:29–31; Singer 2005:435; Hawkins 2009:74."
η κατηγορία,category,,Ακολούθησαν δύο περίοδοι στη Γ΄ κατηγορία.
το σημείο,point,,"Αναφέρει, πάντως ρητά ότι βρισκόταν σε σημείο κοντά στην επίπεδη κορυφή του Νησιού και σε μικρή απόσταση από σύγχρονη εξοχική κατοικία."
το σπίτι,home,,"Αθανασίου, από το οποίο ήταν απόλυτα εξαρτημένη, επειδή δεν είχαν δικά τους κτήματα, ούτε σπίτια οι της Άνω Σφηνίτσας και εργάζονταν στα κτήματα και τα ζώα του Μοναστηριού."
χρησιμοποιείται,is used,,H δοτική δηλώνει το πρόσωπο για το οποίο (ή προς το οποίο) γίνεται η πράξη και χρησιμοποιείται μόνο για έμψυχα.
Σεπτέμβριος,September,,
"άλλος, άλλη, άλλο",another,,"Linnaeus Μεταφέρθηκε στο σημερινό του γένος, Regulus, από τον Γάλλο ζωολόγο Ζορζ Κυβιέ (Georges Cuvier, 1769-1832) το 1800."
ανάμεσα,between,,Ακροβατούν ανάμεσα στο EBM & Alternative Rock.
οι γυναίκες,women,,"Ακόμα και όταν το μεταρρυθμικό πρόγραμμα αποτυγχάνει, είναι σημαντικό οι γυναίκες αυτές να έχουν δικαίωμα στην κυριότητα αυτών των ακινήτων."
"κάποιος, κάποια, κάποιο",some,,"Αν η ταχύτητα του κυματισμού προσεγγίσει κάποια αρμονική της κίνησης των χειριστηρίων, η αντήχηση μπορεί να σπάσει και να αποκολλήσει τα πηδάλια."
κάτι,something,,"Αν συμβαίνει κάτι τέτοιο, τούτη η λέξη θα μπορούσε να υπάρχει σε μια ελληνική διάλεκτο."
μπορούσε,could,,"Katary, Sally, ""Taxation (until the End of the Third Intermediate Period)"", 2011, in Ακόμα μπορούσε να τους δοθεί εντολή να προσφέρουν προμήθειες για συγκεκριμένους σκοπούς."
ο πληθυσμός,population,,"Άφησε ελάχιστα ίχνη, εκτός από μερικά τοπωνύμια, και ο περισσότερος πληθυσμός του αφομοιώθηκε αναμφισβήτητα από διαδοχικούς εισβολείς."
"(ο, η, το) πρώην",former,,To πρώην Βαυαρικό Κρατικό Κοινοβούλιο στην Prannerstraße είχε υποστεί σοβαρές ζημιές κατά τη διάρκεια του πολέμου.
η σεζόν,season,,"Αν και στην αρχή αμφισβητήθηκε, από τα μέσα της περιόδου 2004-05, είχε θέση βασικού στο «τριφύλλι», με το οποίο κατέκτησε το νταμπλ της σεζόν 2009-2010."
σελ (σελίδα),p (page),,"O ίδιος απολογήθηκε στους θαυμαστές του μ' ένα συγκινητικό γράμμα στα μέσα κοινωνικής δικτύωσης και στην επίσημη ιστοσελίδα του, όπου και εξήγησε τους λόγους που τον οδήγησαν στην απόφασή του."
το τραγούδι,song,,"Toν Μάιο συμμετέχει μαζί με αξιόλογους ερμηνευτές στη συλλογή '80 Χρόνια Σταύρος Ξαρχάκος', που κυκλοφόρησε η FM Records,ερμηνεύοντας το τραγούδι ' Στου Θωμά' σε μουσική του Σταύρου Ξαρχάκου και σε στίχους του Κώστα Φέρρη."
υπήρχε,there was,,"Αλλά σε κάθε περίπτωση τολμώ να πω πως τούτο γνωρίζω Αν τίποτε δεν τελείωνε, δε θα υπήρχε παρελθόν."
το είδος,kind,,"H Βόρεια Αμερική διέθετε μια ιθαγενή φτελιά με ιδανικό σχήμα, το πολυθαυμασμένo είδος Ulmus americana, η Aμερικανική λευκή φτελιά, Ulmus americana: Φωτoγραφίες και περιγραφή, plants."
η περίπτωση,case,,Αλλά (όπως πάντα συμβαίνει στην περίπτωση του λογοτεχνικού έργου όπου η μορφή ταιριάζει ακριβώς στη μεγαλοφυΐα του συντάκτη) ο σκοπός στα καλύτερα από αυτά εξαφανίζεται σχεδόν εξ ολοκλήρου.
το πρωτάθλημα,championship,,"Αγωνίστηκε δύο χρονιές με την ομάδα, οδηγώντας την σε ένα πρωτάθλημα περιφέρειας, με μέσο όρο 29,9 πόντων και 18,3 ριμπάουντ ανά παιχνίδι και στις δύο περιόδους."
ο πρόεδρος,chairman,,"H HNS θεωρεί ότι η ίδρυσή ημερομηνία ίδρυσής της είναι η 13η Ιουνίου του 1912, όταν συστάθηκε το ποδοσφαιρικό τμήμα της Κροατικής Αθλητικής Ομοσπονδίας και ο αρχηγός του, ο Μίλοβαν Ζόριτσιτς, διετέλεσε πρώτος πρόεδρος."
τα τέλη,fees,,"Darmstadt 2004, S. 1–26, hier: S. 7f Η Χέμμα πέθανε στο Ρέγκενσμπουργκ στα τέλη του Ιανουαρίου του 876, ο Λουδοβίκος ο Γερμανικός πέθανε λίγο αργότερα από ασθένεια στα ανάκτορα του στην Φραγκφούρτη (28 Αυγούστου 876)."
τρία,three,,Ακολούθησαν μεταβολές τα τρία επόμενα χρόνια με βασιλικά διατάγματα και το 1840 οι δήμοι περιορίστηκαν σε 10. Παρακάτω ακολουθεί αναλυτικός κατάλογος των δήμων και των οικισμών που περιλάμβαναν.
"όλοι, όλες, όλα",all (plural),,"Γενικά, η Γαλατία του Καίσαρα περιλάμβανε όλες τις περιοχές που οι Ρωμαίοι δεν είχαν κατακτήσει και όπου κατοικούσαν κατά κύριο λόγο οι Κέλτες."
το έτος,year,,"Michael Idomir Allen (Philadelphia: University of Pennsylvania Press, 1983), σ. 279 Η Φραγκική Ιστορία που έγραψαν την περίοδο 1015-1034 αναφέρει ότι ο Κάρολος ήταν ο νόμιμος βασιλιάς και ο Ούγος Καπέτος ένας σφετεριστής."
αρχικά,Firstly,,"Αν και ο Vic αρχικά δεν ήθελε, ο Jerry τελικά τον έπεισε: του έθετε ακραίες αποστολές, τι οποίες έφερνε σε πέρας."
το διάστημα,space,,"Michel, Herbeck (2002) p. 121 Εκείνο το διάστημα, ο ΜακΒέι πουλούσε αντικείμενα επιβίωσης και αντίγραφα των ημερολογίων του Τέρνερ."
ο κόσμος,people,,"Chris Scarre, Τα εβδομήντα θαύματα του αρχαίου κόσμου – Τα μεγάλα μνημεία και πως κατασκευάσθηκαν, εκδ."
λίγο,a little bit,,"Darmstadt 2004, S. 1–26, hier: S. 7f Η Χέμμα πέθανε στο Ρέγκενσμπουργκ στα τέλη του Ιανουαρίου του 876, ο Λουδοβίκος ο Γερμανικός πέθανε λίγο αργότερα από ασθένεια στα ανάκτορα του στην Φραγκφούρτη (28 Αυγούστου 876)."
οι μήνες,months,,"Αποφασισμένος να βελτιώσει τις υποκριτικές του δυνατότητες και να ξεφορτωθεί την προφορά που υποδήλωνε την καταγωγή του από τις Μπαχάμες, πέρασε έξι μήνες μελετώντας ώστε να έχει επιτυχία στο θέατρο."
η ονομασία,designation,,"Άλλωστε, Σταυρός ήταν η ονομασία μιας τοποθεσίας του χωριού με ιστορική προέλευση."
πήρε,took,,"Plantagenet Ancestry: A Study In Colonial And Medieval Families, 2nd Edition, 2011. pg 275. Ο Τόμας Χάουαρντ δεν δέχτηκε ποτέ την κομητεία του Σάρρεϋ ή το δουκάτο του Νόρφολκ όσο ζούσε η σύζυγος του γι'αυτό η Άννα δεν πήρε ποτέ τους τίτλους."
πλέον,most,,"Αν και επιτυχημένο, το μοντέλο του 1907 είχε κακές επιδόσεις σε σύγκριση με τους πλέον συμβατικούς σύγχρονους τύπους."
συμμετείχε,participated,,Αγωνιζόμενος ως επιθετικός συμμετείχε σε περισσότερους από 1.000 επίσημους αγώνες σημειώνοντας 563 τέρματα.
Ιανουάριος,January,,
Νοέμβριος,November,,
Οκτώβριος,October,,
ιδρύθηκε,was founded,,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
πέντε,five,,Ανάλογα με το είδος ο βιολογικός κύκλος διαρκεί από ένα μέχρι πέντε χρόνια και περιλαμβάνει περίπου ένδεκα διάφορα προνυμφιακά στάδια.
ο σκοπός,purpose,,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
οι χώρες,Countries,,"Oι διεθνείς εθελοντές ήταν κυρίως σοσιαλιστές,αναρχικοί,κομμουνιστές,η απλά οι χώρες τους είχαν κομμουνιστικά καθεστώτα."
ΗΠΑ,USA,,Η Αίθουσα του Πρίγκηπα είναι ένα μικρό δωμάτιο που χρησιμοποιέιται ως χώρος μετάβασης από τη Βασιλική Αίθουσα στην Αίθουσα των Λόρδων και ονομάστηκε έτσι από το δωμάτιο που οδηγούσε στην Αίθουσα της Βουλής των Λόρδων στα Παλαιά Ανάκτορα του Ουεστμίνστερ.
το μήκος,length,,"Αυτό περιορίζει το μήκος της στήλης και το μέγεθος του σωματιδίου, με το μέγεθος του σωματιδίου είναι σπάνια μικρότερο από 3 μm και το μήκος της στήλης περιορίζεται στα 25 cm."
"μεγάλοι, μεγάλες, μεγάλα",large (plural),,"Αγωνίστηκε για 11 συνεχόμενα χρόνια στην εθνική ομάδα πόλο των Ανδρών με την οποία σημείωσε μεγάλες διακρίσεις, αποτελώντας μέρος μιας χρυσής φουρνιάς παικτών που κυριάρχησαν σε διεθνές επίπεδο μέσα στη δεκαετία του 2000."
ποτέ,never,,"CCAA, Walter Eder, Augustus and the Power of Tradition, 30. Σύμφωνα με τα καθιερωμένα δεν επιτρεπόταν να συνυπάρξουν στο ίδιο πρόσωπο τα αξιώματα του δημάρχου και του τιμητή, αν και ούτε ο ίδιος ο Αύγουστος εκλέχτηκε ποτέ επισήμως τιμητής."
Αύγουστος,August,,
Ιούνιος,June,,
γιατί,why,,"Άνδρες ιεροί, γιατί φύγατε μακριά και παρεξηγήσατε την πρόθεση μου; Είναι επιθυμία δική μου και διαταγή του βασιλιά μου να μην βλάψω τη γη και τους κατοίκους του νησιού των θεών."
εναντίον,against,,"Αν η ακρόπολη έπεφτε, ο Τιμολέων δεν θα είχε ελπίδες να καταλάβει τις Συρακούσες από τον Ικέτα, αλλά δεν μπορούσε να επέμβει εναντίον του τελευταίου με τον μικρό στρατό που διέθετε."
το επίπεδο,level,,"Αγωνίστηκε για 11 συνεχόμενα χρόνια στην εθνική ομάδα πόλο των Ανδρών με την οποία σημείωσε μεγάλες διακρίσεις, αποτελώντας μέρος μιας χρυσής φουρνιάς παικτών που κυριάρχησαν σε διεθνές επίπεδο μέσα στη δεκαετία του 2000."
η κόρη,daughter,,Claire-Clémence de Maillé-Bréézé (25 Φεβρουαρίου 1628 - 16 Απριλίου 1694) από τον Οίκο του Μαγιέ ήταν κόρη του μαρκήσιου του Μπρεζέ και στρατάρχη της Γαλλίας και με τον γάμο της έγινε πριγκίπισσα του Κονντέ.
η οικογένεια,family,,"Nicholas Kratzer (1487-1550), ο οποίος εργαζόταν ως δάσκαλος για την οικογένεια του Μορ και του οποίου οι σημειώσεις διακρίνονται στο προπαρασκευαστικό σχέδιο της ομαδικής προσωπογραφίας της οικογένειας."
πάντα,always,,"Αλλά μια ειρήνη εκείνη την χρονική στιγμή θα ήταν ισοδύναμη με την αποχώρηση του Λίνκολν πιθανόν για πάντα από τον πολιτικό χάρτη της χώρας, πράγμα που υποστήριζαν ακόμα και άτομα από το δικό του κόμμα."
περιλαμβάνει,includes,,Page 537. Είναι μια ειδικότητα που περιλαμβάνει πτυχές της ιατρικής και της χειρουργικής.
η συμμετοχή,participation,,"Αιτία της ακύρωσης είναι η χαμηλή συμμετοχή, που καταγράφεται επίσημα στο 20,41%."
οι ταινίες,movies,,"«Ακόμη και όταν παρακολουθώ ταινίες και όταν διαβάζω βιβλία, έχω πάντοτε ένα μεγάλο τετράδιο και γράφω ό,τι μου έρχεται στο μυαλό."
ήδη,already,,"Αν και μπορούν να μπουν στο νοσοκομείο, τους λένε πως δε μπορούν να έχουν πρόσβαση στη πτέρυγα Γ, ενώ ο φάρος έχει ήδη ερευνηθεί."
ο αγώνας,match,,Από το 1986 ο αγώνας συμμετέχει στο Παγκόσμιο Πρωτάθλημα Φόρμουλα 1 της FIA.
η διάφορα,difference,,"«αιγυπτιακή») αποτελεί στην πραγματικότητα ομάδα διαλέκτων (περιλαμβανομένης της διαλέκτου των Υεμενιτών), που ομιλούνται για τελετουργικό σκοπό από Εβραίους σε διάφορα μέρη του αραβικού και ισλαμικού κόσμου."
τα είδη,items,,"Ακόμη υπάρχουν διαφορά είδη κάκτων που έχουν προσαρμοστεί στην διαρκή και έντονη υγρασία όπως είναι ο κάκτος υπομονή, το επίφυλλο, ο υλοκέριος κλπ."
η μητέρα,mother,,"Nevins, 6 Από την πλευρά της μητέρας του, ο Κλίβελαντ καταγόταν από Αγγλοϊρλανδούς Προτεστάντες και Γερμανούς Κουακέρους από τη Φιλαδέλφεια."
ο στρατός,military,,"Barber 2012, p. 147. Ο βασιλιάς δέχτηκε την πρόταση και έστειλε τον στρατό του να κυριεύσει το Μπανιάς και με πλεονέκτημα την παρουσία νέων Σταυροφόρων αποφάσισε να επιτεθεί στην Δαμασκό."
Τρίτη,Tuesday,,"Αυτό μας οδηγεί σε μια τρίτη έννοια, εκείνη του φυσικού ισομορφισμού: όσο το V και το V** είναι διαφορετικά σύνολα, υπάρχει μια φυσική επιλογή ισομορφισμού ανάμεσά τους."
ο Ιούλιος,July,ιουνίου,Έτσι οι 2 ιουλίου 1715 Μαγιόρκα παραδόθηκε.
ανέλαβε,took over,έλαβε,"Από το 1939 τη διεύθυνση ανέλαβε ο γιος του Ιωάννης Αποστολάκης, την οποία διατήρησε μέχρι το θάνατό του το 2000."
ο πατέρας,father,πατέρα,"Αν και ο Ελευθέριος Βενιζέλος είχε πρόθεση να συνεχίσει τις σπουδές του, ο πατέρας του επέλεξε να τον τοποθετήσει στο κατάστημά του με σκοπό να το αναλάβει."
τα χρονιά,year,,"Kennedy (I), 136 Την ίδια χρονιά δέχτηκε πρόσκληση από το BBC να συνθέσει την πρώτη του όπερα."
το χωριό,village,,"H πρώτη επίσημη καταγραφή του χωριού Βωλάξ, προέρχεται από τα κρατικά έγγραφα της βενετικής διοίκησης του 1618 (ASVe, Duca Di Candia, Busta 92) που βρίσκονται στην Ιταλία."
ο Μάιος,May,,Ο σημερινός γοτθικός καθεδρικός άρχισε να κατασκευάζεται στα θεμέλια των προηγούμενων εκκλησιών την 1η μαΐου 1298.
το Πανεπιστήμιο,university,,"Τα δρομολόγια των λεωφορείων 11, 12, 18 και 19, των τοπικών αστικών συγκοινωνιών, συνδέουν το πανεπιστήμιο με την Αλμερία."
η απογραφή,census,,Grove and MacLaren Η απογραφή της περιουσίας του έχει διασωθεί και αποτελεί τη βασική πηγή πληροφοριών για την εντυπωσιακή συλλογή έργων τέχνης που διέθετε.
ο βασιλιάς,king,,"Barber 2012, p. 147. Ο βασιλιάς δέχτηκε την πρόταση και έστειλε τον στρατό του να κυριεύσει το Μπανιάς και με πλεονέκτημα την παρουσία νέων Σταυροφόρων αποφάσισε να επιτεθεί στην Δαμασκό."
επέστρεψε,returned,,"Αρρώστησε στο Tours το 1445, ίσως από πλευρίτιδα που απέκτησε αφού επέστρεψε με τα πόδια από ένα προσκύνημα στη Βασιλική της Notre-Dame de l'Epine."
το θέμα,theme,,"Άλλη version του ίδιου θέματος αποτελεί το καλλιτεχνικό ντοκιμαντέρ ""Το θεριό του Μάρτη"" επίσης του Μανώλη Δημελλά (παραγωγής, 2007)."
η κατασκευή,construction,,"A, μίας θυγατρικής εταιρείας που ιδρύθηκε με σκοπό την κατασκευή, τη διαχείριση και τη διατήρηση της κατασκευής."
ο λόγος,reason,,"E.J. Power, A Legacy of Learning, 52 Η ελευθερία του λόγου θεωρείται η μεγαλύτερη και μακροβιότερη κληρονομιά που μας άφησε ο ""Αιώνας του Περικλή""."
το παιχνίδι,game,,"To 2004 o Masashi Tsuboyama είχε δηλώσει ότι το Silent Hill 5 βρισκόταν σε στάδιο ανάπτυξης, αλλά αρνήθηκε τις φήμες ότι το παιχνίδι θα είχε τον τίτλο ""Silent Hill:Shadows""."
